2020-05-25
+-----------------------------------------+--------+
|                   Card                  | Price  |
|            dark grepher secret 1st             | 23.01  |
|         brain control Ultimate 1st ger         | 22.95  |
|               catastor ultimate                | 20.94  |
|      Black Luster Soldier EOTB Ultra 1st       | 20.88  |
|   Black Luster Soldier EOTB Ultra Unlimited    | 20.88  |
|             B. Skull Dragon Ultra              | 20.06  |
|             Cyber Jar Ultimate 1st             | 19.95  |
|           cybedark keel Ultimate 1st           |  19.8  |
|            Book of Moon TU07 Ultra             | 19.59  |
|                   Laggia UTR                   | 18.81  |
|               Dark Magician LOB                | 18.74  |
|         powertool dragon Ultimate 1st          | 18.72  |
|    Dark Paladin Ultra Unlimited Reprint Art    | 18.69  |
|                 Rescue Rabbit                  | 18.68  |
|         red dragon archfiend Ultimate          | 18.41  |
|         crush card virus Ultimate 1st          | 18.25  |
|            solar recharge Ultimate             |  18.1  |
|        phoenix wing windblast Ultimate         | 18.03  |
|           cyber phoenix Ultimate 1st           | 17.97  |
|               Time Wizard Ultra                |  17.7  |
|         ancient fairy dragon Ultimate          | 17.58  |
|              Summoned Skull Ultra              | 17.27  |
|                Exodia Left Leg                 | 17.12  |
|             Dark Magician Girl RDS             |  17.1  |
|                      TKO                       | 16.79  |
|             Dark Magician of Chaos             | 16.17  |
|                sangan ultra tu                 |  16.1  |
|          Injection Fairy Lily Secret           | 16.08  |
|       monster reincarnation Ultimate 1st       | 15.98  |
|                Exodia Right Arm                | 15.59  |
|            Tri Horned Dragon Secret            | 15.57  |
|         diamond dude ultimate 1st ger          | 15.24  |
|             Delinquent Duo MRL 1st             |  15.1  |
|         scrap dragon Ultimate 1st ger          | 15.04  |
|                Exodia Left Arm                 | 15.01  |
|               Gemini Elf Secret                | 13.79  |
|       Breaker the magical warrior secret       | 13.48  |
|                 Dolkka Secret                  | 13.38  |
|                Exodia Right Leg                | 11.97  |
|                  Toon Mermaid                  | 11.86  |
|           Solemn Judgment Unlimited            | 11.53  |
|         Blue Eyes Ultimate JMP Secret          | 11.44  |
|             Lava Golem Secret 1st              | 11.32  |
|                Mirror Force MRL                | 11.04  |
|          Monster Reborn Unlimited LOB          | 10.67  |
|              Toon Summoned Skull               | 10.49  |
|                Change of Heart                 | 10.12  |
|                XY Dragon Cannon                |  9.87  |
|                Hyper Librarian                 |  9.38  |
|           goyo guardian Ultimate 1st           |  8.72  |
|         Ring of Destruction Secret 1st         |  8.35  |
