collection_extra_deck - 2022-12-29
+-----------------------------------------------+-------+
|                      Card                     | Price |
|                       Card                      | Price |
+-------------------------------------------------+-------+
| pyramid turtle - super champion pack - TCG/seek |  179  |
|       Goblin Zombie Secret PTDN - TCG/seek      |  109  |
|      Zombie Master UTR Taev 1st - TCG/seek      |   96  |
|          Mezuki Secret pp02 - TCG/seek          |   20  |
| burial from a diff dimension - dp03 ultra - TCG |   18  |
|    card of safe return ultra Unlimited - TCG    |   4   |
|      book of life pgd Super Unlimited - TCG     |   0   |
|                       test                      |   0   |
+-------------------------------------------------+-------+
buylist_mermail - 2022-12-30
+--------------------------------------------+-------+
|                    Card                    | Price |
+--------------------------------------------+-------+
|     Atlantean Dragoons UTR - TCG/seek      |  113  |
|       Deep Sea Diva Super - TCG/seek       |  104  |
|     Atlantean Marksman UTR - TCG/seek      |   53  |
|      Breakthrough Ultimate 1st - TCG       |   33  |
| Mermail Abyssteus Ultimate 1st - TCG/seek  |   32  |
| Mermail Abyssmegalo Secret 1st - TCG/seek  |   25  |
| Mermail Abysslinde Ultimate 1st - TCG/seek |   21  |
|  Mermail Abyss-sphere Ultimate 1st - TCG   |   15  |
|           Moulinglacia 1st - TCG           |   8   |
|       Mermail Abyssgunde Super - TCG       |   3   |
|     Mermail Abyssleed Secret 1st - TCG     |   3   |
|       Mermail Abysspike Super - TCG        |   3   |
|   Atlantean Heavy Infrantry Super - TCG    |   2   |
|         Salvage - blue rare - TCG          |   1   |
|          soul charge Ultra - TCG           |   1   |
|        Genex Controller - TCG/seek         |   0   |
|          Genex Undive - TCG/seek           |   0   |
|              Tidal Scr - TCG               |   0   |
|                    test                    |   0   |
+--------------------------------------------+-------+
buylist_cool_singles - 2022-12-30
+------------------------------------------------+-------+
|                      Card                      | Price |
+------------------------------------------------+-------+
|       Black Rose Dragon Ghost 1st - SEEK       |  2498 |
|                 Dad secret 1st                 |  999  |
|                red eyes lob 1st                |  850  |
|                  time wiz 1st                  |  799  |
|                     dds dm                     |  715  |
|                  b skull 1st                   |  414  |
|             Blue eyes toon scr 1st             |  400  |
|               summoned skull 1st               |  398  |
|                    dds bewd                    |  347  |
|    Power Tool Dragon Ghost 1st - TCG / SEEK    |  326  |
|    red dragon archfiend Ultimate 1st - SEEK    |  297  |
|  Stardust Dragon Ghost unl extra - TCG / SEEK  |  289  |
|                 JD Secret 1st                  |  234  |
| Black Rose Dragon Ghost unl extra - TCG / SEEK |  205  |
|         dark rainbow dragon secret 1st         |  184  |
|                   dds exodia                   |  170  |
|                    yata 1st                    |  139  |
|                 gemini scr 1st                 |   93  |
|                    ter 1st                     |   92  |
|             rainbow dragon scr 1st             |   85  |
|                vampire lord 1st                |   84  |
|            Injection Fairy Lily 1st            |   70  |
|                      test                      |   0   |
+------------------------------------------------+-------+
buylist_foreign_converts - 2022-12-30
+------------------------------------+-------+
|                Card                | Price |
+------------------------------------+-------+
| Plaguespreader Zombie Ultimate 1st |  699  |
|         Maxx C Ultimate EN         |  694  |
|     Trap Dustshoot Super CP EN     |  407  |
|   Pot of Avarice Ultimate 1st EN   |  248  |
|   Pot of Greed Ultimate 1st - EN   |  210  |
|       Tour Guide Ultimate EN       |  197  |
|   Emegency Teleport Ultimate 1st   |  169  |
|         Krebos Super TU EN         |   99  |
|         Doomkaiser utr 1st         |   94  |
|     Diamond Dude Ultimate 1st      |   45  |
|        Armory Arm Ultra 1st        |   6   |
|      Scapegoat Ultra RP01 EN       |   0   |
|                test                |   0   |
+------------------------------------+-------+
buylist_edison - 2022-12-30
+------------------------+-------+
|          Card          | Price |
+------------------------+-------+
| Morphing Jar ultra TP2 |  2499 |
| Morphing Jar tp4 super |  224  |
|    Snipe Hunter cp3    |   77  |
|          test          |   0   |
+------------------------+-------+
collection_deck_builder - 2023-01-01
+--------------------------------------------+-------+
|                    Card                    | Price |
+--------------------------------------------+-------+
|           Book of Moon Super CP            |  764  |
|     Plaguespreader Zombie Ultimate 1st     |  699  |
|   Plaguespreader Zombie Ultimate 1st ITA   |  699  |
|        Maxx C Ultimate - 1 EN 1 SP         |  694  |
|           Magician of Faith cp2            |  568  |
|         Lonefire Blossom Super CP          |  549  |
|         Effect Veiler Ultimate 1st         |  520  |
|          Solemn Judgment MRD 1st           |  450  |
|          Judgment Dragon Ultimate          |  448  |
|            Jinzo Secret PSV 1st            |  425  |
|             Breaker TP7 super              |  416  |
|     Trap Dustshoot Super CP 2 EN 1 DE      |  407  |
|         Dark Armed Dragon Ultimate         |  398  |
|     Night Assailant Super CP 3 EN 1 IT     |  392  |
|            Gravekeeper Spy CP03            |  370  |
|      Caius Shadow Monarch Ultimate TU      |  347  |
|           Spirit Reaper Super CP           |  314  |
| Allure of Darkness Ultimate 1st 1 DE 2 IT  |  300  |
|     Allure of Darkness Ultimate 1st EN     |  300  |
|      Lightning Vortex Ultimate 1st FR      |  294  |
|    Lumina, Lightsworn Summoner Super CP    |  294  |
|    Black Luster Soldier EOTB Ultra 1st     |  289  |
|            DD Crow Ultimate 1st            |  289  |
|          Foolish Burial Super CP           |  274  |
|         Cyber Dragon Ultimate 1st          |  250  |
|   Pot of Avarice Ultimate 1st 2 DE 1 EN    |  248  |
|  Phoenix Wing Wind Blast Ultimate 1st NM   |  239  |
| Pot of Greed Ultimate 1st - 2 EN 2 Foreign |  210  |
|    Brain Control Ultimate 1st 1 EN 1 DE    |  209  |
|   Charge of the Light Brigade Secret 1st   |  208  |
|             Sangan Super RP01              |  199  |
|        Tour Guide Ultimate Italian         |  197  |
|          Chaos Sorcerer Ultra TU           |  175  |
|      Dark Magician of Chaos DMOC 1st       |  169  |
|            Doom Lord Rare DR04             |  169  |
|  Emegency Teleport Ultimate 1st 1 EN 2 DE  |  169  |
|  Phoenix Wing Wind Blast Ultimate 1st LP   |  166  |
|        Thunder King Rai-Oh Ultimate        |  158  |
|          Dark Grepher Secret 1st           |  156  |
|     Chaos Emperor Dragon Ultimate 1st      |  150  |
